model_id,body_part,color,chamfer_distance
00151,overall,NA,0.030628091298406754
00151,Hands,"1.0,0.0,0.0",0.1994635109434044
00151,Top-Half Clothes,"1.0,1.0,0.0",0.029032243588073714
00151,Shoes,"0.0,0.0,1.0",0.02741184501187803
00151,Bottom-Half Clothes,"1.0,0.0,1.0",0.01995217737387902
00151,Legs,"0.0,0.8,0.8",0.030787679772083937
00151,Hair,"0.0,1.0,0.0",0.032797595034000544
00151,Head,"1.0,0.5,0.0",0.02870611189382582
00163,overall,NA,0.026247152195762707
00163,Hands,"1.0,0.0,0.0",0.14121852114422753
00163,Top-Half Clothes,"1.0,1.0,0.0",0.022233749401577938
00163,Shoes,"0.0,0.0,1.0",0.0387184858537859
00163,Legs,"0.0,0.8,0.8",0.02226152697909635
00163,Bottom-Half Clothes,"1.0,0.0,1.0",0.024203718344838324
00163,Hair,"0.0,1.0,0.0",0.0287256834775176
00163,Head,"1.0,0.5,0.0",0.02023826990565634
00179,overall,NA,0.023889327493755632
00179,Top-Half Clothes,"1.0,1.0,0.0",0.02575380132906835
00179,Hands,"1.0,0.0,0.0",0.1370042983222385
00179,Bottom-Half Clothes,"1.0,0.0,1.0",0.01845405281464913
00179,Shoes,"0.0,0.0,1.0",0.0335406333485532
00179,Legs,"0.0,0.8,0.8",0.017877953999059656
00179,Hair,"0.0,1.0,0.0",0.025705635598909107
00179,Head,"1.0,0.5,0.0",0.022105935058131868
00170,overall,NA,0.03906168519900782
00170,Top-Half Clothes,"1.0,1.0,0.0",0.04517617441293739
00170,Hands,"1.0,0.0,0.0",0.1975749587967303
00170,Bottom-Half Clothes,"1.0,0.0,1.0",0.04743128760071338
00170,Shoes,"0.0,0.0,1.0",0.03048951158628388
00170,Legs,"0.0,0.8,0.8",0.027372126731340662
00170,Hair,"0.0,1.0,0.0",0.025213820860683668
00170,Head,"1.0,0.5,0.0",0.022478675718822817
00140,overall,NA,0.03640122403933109
00140,Top-Half Clothes,"1.0,1.0,0.0",0.040005934060872946
00140,Hands,"1.0,0.0,0.0",0.15941828575191225
00140,Shoes,"0.0,0.0,1.0",0.07352734386513364
00140,Legs,"0.0,0.8,0.8",0.030640360372008464
00140,Bottom-Half Clothes,"1.0,0.0,1.0",0.022654273768509627
00140,Hair,"0.0,1.0,0.0",0.03415570294580415
00140,Head,"1.0,0.5,0.0",0.02314380858248093
00160,overall,NA,0.02584192151136116
00160,Hands,"1.0,0.0,0.0",0.16525805288088302
00160,Top-Half Clothes,"1.0,1.0,0.0",0.022288889371876307
00160,Shoes,"0.0,0.0,1.0",0.041476132109294066
00160,Bottom-Half Clothes,"1.0,0.0,1.0",0.02516955707684196
00160,Hair,"0.0,1.0,0.0",0.02649775213526165
00160,Head,"1.0,0.5,0.0",0.02448682987476395
00174,overall,NA,0.024507198315227297
00174,Top-Half Clothes,"1.0,1.0,0.0",0.02662450483570933
00174,Hands,"1.0,0.0,0.0",0.17092683009924528
00174,Shoes,"0.0,0.0,1.0",0.04879472315812862
00174,Bottom-Half Clothes,"1.0,0.0,1.0",0.023689616663771146
00174,Hair,"0.0,1.0,0.0",0.0239839802343036
00174,Head,"1.0,0.5,0.0",0.02302874432318256
00154,overall,NA,0.031585303045237434
00154,Hands,"1.0,0.0,0.0",0.18974860275353758
00154,Top-Half Clothes,"1.0,1.0,0.0",0.030953948200265383
00154,Shoes,"0.0,0.0,1.0",0.04164098178415847
00154,Bottom-Half Clothes,"1.0,0.0,1.0",0.02282313040481768
00154,Hair,"0.0,1.0,0.0",0.02738522720868916
00154,Head,"1.0,0.5,0.0",0.026271801604029265
00127,overall,NA,0.030587833836660715
00127,Hands,"1.0,0.0,0.0",0.17244282167828662
00127,Top-Half Clothes,"1.0,1.0,0.0",0.03169757105492745
00127,Shoes,"0.0,0.0,1.0",0.035644820383264594
00127,Legs,"0.0,0.8,0.8",0.022580631436960333
00127,Bottom-Half Clothes,"1.0,0.0,1.0",0.02329336570795143
00127,Hair,"0.0,1.0,0.0",0.0198901741457284
00127,Head,"1.0,0.5,0.0",0.022112042746096985
00187,overall,NA,0.02890552636719195
00187,Hands,"1.0,0.0,0.0",0.1331308822292483
00187,Top-Half Clothes,"1.0,1.0,0.0",0.029801207578322927
00187,Legs,"0.0,0.8,0.8",0.02596637454279188
00187,Hair,"0.0,1.0,0.0",0.041754175560765466
00187,Shoes,"0.0,0.0,1.0",0.02948281755631997
00187,Head,"1.0,0.5,0.0",0.028393792811205333
00191,overall,NA,0.03316193271018871
00191,Hands,"1.0,0.0,0.0",0.12493414663256486
00191,Top-Half Clothes,"1.0,1.0,0.0",0.029088808704343414
00191,Shoes,"0.0,0.0,1.0",0.05533688141424029
00191,Bottom-Half Clothes,"1.0,0.0,1.0",0.04690368468345765
00191,Hair,"0.0,1.0,0.0",0.03348480738323768
00191,Head,"1.0,0.5,0.0",0.02771294659965353
00134,overall,NA,0.030184983411699548
00134,Hands,"1.0,0.0,0.0",0.15135495271681
00134,Top-Half Clothes,"1.0,1.0,0.0",0.03026655691504125
00134,Shoes,"0.0,0.0,1.0",0.041461598221300536
00134,Legs,"0.0,0.8,0.8",0.0324235715687474
00134,Bottom-Half Clothes,"1.0,0.0,1.0",0.02115987338476738
00134,Head,"1.0,0.5,0.0",0.03921380884667549
00134,Hair,"0.0,1.0,0.0",0.042407277768960874
