model_id,body_part,color,chamfer_distance
00175,Top-Half Clothes,"1.0,1.0,0.0",0.02586396914601787
00175,Bottom-Half Clothes,"1.0,0.0,1.0",0.024866725094809174
00175,Shoes,"0.0,0.0,1.0",0.059033696248894874
00175,Head,"1.0,0.5,0.0",0.016908764696858966
00175,Hair,"0.0,1.0,0.0",0.025009737059052746
00129,overall,NA,0.0711228000814714
00129,Hands,"1.0,0.0,0.0",0.13039141421612171
00129,Shoes,"0.0,0.0,1.0",0.023898278790234644
00129,Legs,"0.0,0.8,0.8",0.032223250053748834
00129,Bottom-Half Clothes,"1.0,0.0,1.0",0.04800526833031052
00129,Top-Half Clothes,"1.0,1.0,0.0",0.042077982084300046
00129,Head,"1.0,0.5,0.0",0.10483978011981629
00129,Hair,"0.0,1.0,0.0",0.11626185723788343
00134,overall,NA,0.0391810286161785
00134,Hands,"1.0,0.0,0.0",0.10911579795951303
00134,Top-Half Clothes,"1.0,1.0,0.0",0.03861742409376723
00134,Shoes,"0.0,0.0,1.0",0.046164319081330396
00134,Legs,"0.0,0.8,0.8",0.03416141023847495
00134,Bottom-Half Clothes,"1.0,0.0,1.0",0.028281211864422288
00134,Head,"1.0,0.5,0.0",0.03692693801847412
00134,Hair,"0.0,1.0,0.0",0.03588753944922482
00179,overall,NA,0.02533820237039296
00179,Hands,"1.0,0.0,0.0",0.07400736885671216
00179,Bottom-Half Clothes,"1.0,0.0,1.0",0.02241036029193149
00179,Shoes,"0.0,0.0,1.0",0.029058819045656457
00179,Top-Half Clothes,"1.0,1.0,0.0",0.026884236923802148
00179,Legs,"0.0,0.8,0.8",0.02167487162986966
00179,Hair,"0.0,1.0,0.0",0.023666027117580583
00179,Head,"1.0,0.5,0.0",0.017641143530225865
00169,overall,NA,0.027521428266701127
00169,Hands,"1.0,0.0,0.0",0.15014261209427437
00169,Bottom-Half Clothes,"1.0,0.0,1.0",0.02833656072580692
00169,Shoes,"0.0,0.0,1.0",0.026913307714847214
00169,Top-Half Clothes,"1.0,1.0,0.0",0.03267362005811042
00169,Head,"1.0,0.5,0.0",0.02139573114943525
00169,Hair,"0.0,1.0,0.0",0.02388898516096978
00135,overall,NA,0.02829547864478048
00135,Hands,"1.0,0.0,0.0",0.08279605747242322
00135,Top-Half Clothes,"1.0,1.0,0.0",0.023100135095750804
00135,Shoes,"0.0,0.0,1.0",0.03777304567162859
00135,Legs,"0.0,0.8,0.8",0.02009460356454483
